,date,contract,strike_price,op_fair_price,day,close,atr
335,2022-05-25,202206W1,16050.0,324.0,Wednesday,16060.0,244.46742274017723
336,2022-05-26,202206W1,15950.0,306.0,Thursday,15950.0,245.29117825873598
337,2022-05-27,202206W1,16250.0,194.0,Friday,16230.0,248.84180838311198
338,2022-05-30,202206W1,16550.0,261.0,Monday,16560.0,256.35310778431824
339,2022-05-31,202206W1,16700.0,80.0,Tuesday,16682.0,256.3278857997241
340,2022-06-01,202206W2,16600.0,298.0,Wednesday,16610.0,249.66160824260092
341,2022-06-02,202206W2,16550.0,291.0,Thursday,16532.0,241.75720765384372
342,2022-06-06,202206W2,16600.0,283.0,Monday,16600.0,237.70312139285488
343,2022-06-07,202206W2,16450.0,107.5,Tuesday,16462.0,234.58146986479383
344,2022-06-08,202206,16650.0,293.0,Wednesday,16644.0,234.32565058873712
